0,0.8,0.2,[7, 5, 1, 4, 2, 3, 0, 6]
1,0.8,0.2,[0, 3, 4, 1, 2, 5, 7, 6]
2,0.8,0.2,[7, 5, 4, 1, 2, 3, 0, 6]
3,0.8,0.2,[5, 1, 4, 2, 3, 0, 6, 7]
4,0.8,0.2,[2, 4, 1, 5, 7, 6, 0, 3]
5,0.8,0.2,[2, 5, 7, 6, 0, 3, 4, 1]
6,0.8,0.2,[5, 4, 1, 2, 3, 0, 6, 7]
7,0.8,0.2,[0, 6, 7, 5, 2, 1, 4, 3]
8,0.8,0.2,[5, 7, 6, 0, 3, 2, 4, 1]
9,0.8,0.2,[7, 5, 4, 1, 2, 3, 0, 6]
0,0.7,0.3,[1, 4, 3, 0, 6, 7, 5, 2]
1,0.7,0.3,[7, 6, 0, 3, 4, 1, 2, 5]
2,0.7,0.3,[4, 1, 2, 3, 0, 6, 7, 5]
3,0.7,0.3,[7, 5, 4, 1, 2, 3, 0, 6]
4,0.7,0.3,[3, 0, 6, 7, 5, 1, 4, 2]
5,0.7,0.3,[6, 0, 3, 2, 1, 4, 5, 7]
6,0.7,0.3,[3, 2, 1, 4, 5, 7, 6, 0]
7,0.7,0.3,[3, 0, 6, 7, 5, 1, 4, 2]
8,0.7,0.3,[7, 6, 0, 3, 4, 1, 2, 5]
9,0.7,0.3,[3, 0, 6, 7, 5, 1, 4, 2]
0,0.6,0.4,[6, 7, 5, 4, 1, 2, 3, 0]
1,0.6,0.4,[0, 3, 4, 1, 2, 5, 7, 6]
2,0.6,0.4,[5, 7, 6, 0, 3, 2, 4, 1]
3,0.6,0.4,[0, 3, 2, 4, 1, 5, 7, 6]
4,0.6,0.4,[1, 2, 5, 7, 6, 0, 3, 4]
5,0.6,0.4,[2, 5, 7, 6, 0, 3, 4, 1]
6,0.6,0.4,[6, 0, 3, 2, 1, 4, 5, 7]
7,0.6,0.4,[3, 4, 1, 2, 5, 7, 6, 0]
8,0.6,0.4,[6, 0, 3, 2, 4, 1, 5, 7]
9,0.6,0.4,[4, 5, 7, 6, 0, 3, 2, 1]
